0.339067,-0.697733,-0.448200,-0.250570,0.132500,0.958988
-0.340067,-0.075240,-0.409067,-0.529317,-0.321428,-0.785180
0.342900,-0.321425,-0.386925,0.874724,-0.187335,0.446950
-0.009715,-0.005146,-0.338117,-0.001036,-0.997999,0.063217
0.143750,-0.004888,-0.341850,-0.005204,0.998099,-0.061405
-0.354567,-0.803167,-0.453133,0.202289,-0.634662,-0.745844
0.368600,-0.795150,-0.441750,0.903359,-0.003911,-0.428867
-0.010087,-0.015490,-0.412900,0.090660,0.821697,-0.562668
-0.138950,-0.010327,-0.410850,0.029373,0.981051,-0.191511
0.340650,-0.402475,-0.426675,0.073233,0.126706,-0.989233
0.271700,-0.057960,-0.223100,0.003061,-0.999032,0.043880
-0.177067,-0.009404,-0.406200,-0.015208,0.979187,-0.202389
0.164600,-0.025383,-0.413671,-0.133493,0.679464,-0.721462
0.009003,-0.067705,-0.382600,0.142753,-0.968405,-0.204484
0.325600,-0.058410,-0.236600,-0.376167,0.917515,0.129091
0.112200,-0.066260,-0.363720,0.003115,-0.997987,0.063348
0.265450,-0.057230,-0.205700,0.003044,-0.999291,0.037537
-0.222300,-0.008741,-0.402500,0.019852,0.901283,-0.432775
-0.336275,-0.525250,-0.392550,0.284498,-0.117769,0.951415
-0.337967,-0.702500,-0.448567,-0.075441,0.047014,0.996041
-0.350625,-0.246225,-0.403350,0.936949,-0.342979,0.067019
0.310350,-0.373400,-0.413700,0.533502,-0.159010,0.830717
0.044935,-0.001579,-0.267700,0.001032,-0.998267,0.058843
0.352400,-0.378450,-0.408850,0.981628,0.145472,0.123468
-0.333200,-0.181100,-0.412000,-0.349327,0.053642,-0.935464
0.310200,-0.428700,-0.415400,0.880536,0.145555,0.451077
0.192150,-0.061205,-0.283600,0.003098,-0.998497,0.054726
-0.317600,-0.392950,-0.423850,-0.548901,0.121490,0.827011
-0.333100,-0.005316,-0.354567,0.115865,-0.988952,0.092458
0.273950,-0.000533,-0.258850,-0.007244,0.998580,-0.052775
-0.007841,-0.063088,-0.309600,-0.001032,-0.998267,0.058843
0.151000,-0.068403,-0.407933,0.240698,-0.709510,-0.662314
0.312200,-0.002688,-0.303900,-0.007201,-0.998902,0.046293
0.346300,-0.054495,-0.162450,0.578269,-0.815649,0.017942
0.195400,-0.067413,-0.386367,0.030204,-0.998801,-0.038536
-0.134700,-0.062570,-0.304000,0.003104,0.998375,-0.056902
0.188850,-0.009502,-0.408300,-0.091069,0.881271,-0.463753
-0.063600,-0.060010,-0.254500,0.001028,0.998623,-0.052451
0.339375,-0.156175,-0.405800,0.835795,-0.513525,-0.194266
0.336900,-0.643700,-0.443333,0.550838,0.311343,-0.774366
0.316200,-0.590300,-0.409700,0.685381,0.301568,-0.662804
-0.057617,-0.020323,-0.413367,0.119285,-0.596423,0.793758
-0.087560,-0.020280,-0.413400,0.041041,0.655240,-0.754305
0.358200,-0.816300,-0.413100,0.575027,-0.622244,0.531184
0.330950,-0.002028,-0.303900,-0.260877,-0.965365,0.003607
0.093713,-0.007516,-0.378667,0.052483,-0.972760,0.225797
0.316150,-0.174350,-0.411650,0.872333,-0.025697,0.488236
0.015740,-0.007819,-0.380100,-0.038755,-0.982961,0.179681
0.267250,-0.066635,-0.413350,-0.089279,-0.683495,-0.724475
-0.312900,-0.455000,-0.407060,0.951235,-0.228675,-0.207026
-0.336325,-0.677300,-0.404575,0.073714,0.376611,-0.923434
0.314725,-0.295025,-0.384025,0.474330,0.056370,-0.878541
-0.182800,-0.061295,-0.284400,0.003091,0.998503,-0.054614
0.159500,-0.060145,-0.261250,0.003079,-0.998730,0.050296
